"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"135","Pump'N'Pump - 2018","pumpn",2018-09-04 15:00:00,"SRC","Cryptopia","BTC",1.12e-06,1.12e-06,1.12e-06,1.12e-06,NA,0,0.012868,0,0,TRUE,0.243243243243243,TRUE
"137","Crypto Pump Island","crypto_pump_island",2018-09-03 16:00:00,"BDL","Cryptopia","BTC",2.5e-07,2.5e-07,2.5e-07,2.5e-07,1103,0.002519,0,0,0,TRUE,0.25,TRUE
"138","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-09-02 21:00:00,"STV","Cryptopia","BTC",1.9e-06,1.9e-06,1.9e-06,1.9e-06,NA,0,0,0,0,TRUE,0.257142857142857,TRUE
"139","??Crypto Millionaire??","cryptocoinsultants07",2018-09-02 20:07:00,"POST","Cryptopia","BTC",1.06e-06,1.2e-06,1.06e-06,1.2e-06,105,0.003127,0.00396,0.132075471698113,0,TRUE,0.235294117647059,TRUE
"143","Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-08-31 20:07:00,"OPCX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.242424242424242,FALSE
"145","Pump'N'Pump - 2018","pumpn",2018-08-31 15:00:00,"CAT","Cryptopia","BTC",1.982e-05,1.987e-05,1.987e-05,1.987e-05,NA,0.020851,0.0005489,0.00252270433905152,0,TRUE,0.25,TRUE
"146","Cryptopia Pump Squad","cryptoflashsignals",2018-08-30 20:01:00,"FLAX","Cryptopia","BTC",6.1e-07,6.9e-07,6.1e-07,6.9e-07,417,0.0006936,0,0.131147540983607,0,TRUE,0.258064516129032,TRUE
"148","Crypto Pump Island","crypto_pump_island",2018-08-30 16:00:00,"GRN","Cryptopia","BTC",1.7e-07,2e-07,2e-07,2e-07,1606,0.00124,0.010197,0.176470588235294,0,TRUE,0.266666666666667,TRUE
"149","Pump'N'Pump - 2018","pumpn",2018-08-29 15:00:00,"EVIL","Cryptopia","BTC",9.7e-07,9.7e-07,9.7e-07,9.7e-07,NA,0.007702,0.004826,0,0,TRUE,0.241379310344828,TRUE
"152","Crypto Pump Island","crypto_pump_island",2018-08-27 16:00:00,"BERN","Cryptopia","BTC",1.4e-07,1.5e-07,1.5e-07,1.5e-07,916,0.003531,0.02404,0.0714285714285713,0,TRUE,0.25,TRUE
"153","Donald Pump","DonaldPumpCrypto",2018-08-26 20:00:00,"SHRM","Cryptopia","BTC",0.0001839,0.0001839,0.0001826,0.0001826,623,0.003767,0.027072,0,-0.00706905927134315,TRUE,0.259259259259259,TRUE
"154","Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-08-22 19:00:00,"XZX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.269230769230769,FALSE
"157","Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-08-19 19:00:00,"DIM","Cryptopia","BTC",3.7e-07,3.7e-07,3.7e-07,3.6e-07,2365,0.0008755,0.010351,0,-0.0270270270270271,TRUE,0.28,TRUE
